"objectid","title","creator","date","filename","format","image_small"
"1971_enero_primera_quincena_documento","Revista Punto Final Regis Debray habla en libertad suplemento","Manuel Cabieses y Jorge Timossi"," enero 5 de 1971 suplemento.","1971_enero_primera_quincena_documento.pdf","application/pdf","objects/1971_enero_primera_quincena_documento.jpg"
"1971_enero_segunda_quincena_documento","Revista Punto Final – Segunda quincena de enero 1971","Osvaldo Rivera","enero 19 de 1971","1971_enero_segunda_quincena_documento.pdf","application/pdf","objects/1971_enero_segunda_quincena_documento.jpg"
"1971_enero_segunda_quincena","Revista Punto Final – Segunda quincena de enero 1971","Mario Diaz y Augusto Olivares","enero 19 de 1971","1971_enero_segunda_quincena.pdf","application/pdf","objects/1971_enero_segunda_quincena.jpg"
"1971_marzo_primera_quincena","Revista Punto Final – Primera quincena de marzo 1971","Jacques Chonchol"," marzo 2 de 1971","1971_marzo_primera_quincena.pdf","application/pdf","objects/1971_marzo_primera_quincena.jpg"
"1971_marzo_primera_quincena_documento","Revista Punto Final – Primera quincena de marzo 1971","Luis Castro"," marzo 2 de 1971","1971_marzo_primera_quincena_documento.pdf","application/pdf","objects/1971_marzo_primera_quincena_documento.jpg"
"1971_abril_primera_quincena","Revista Punto Final – Primera quincena de abril 1971","Carlos Altamirano"," abril 13 de 1971","1971_abril_primera_quincena.pdf","application/pdf","objects/1971_abril_primera_quincena.jpg"
"1971_abril_segunda_quincena_documento","Revista Punto Final – Segunda quincena de abril 1971","Salvador Allende y los periodistas"," abril 27 de 1971","1971_abril_segunda_quincena_documento.pdf","application/pdf","objects/1971_abril_segunda_quincena_documento.jpg"
"1971_mayo_primera_quincena","Revista Punto Final – Primera quincena de mayo 1971","Luigui Nono","mayo 11 de 1971","1971_mayo_primera_quincena.pdf","application/pdf","objects/1971_mayo_primera_quincena.jpg"
"1971_marzo_primera_quincena_documento","Revista Punto Final – Primera quincena de marzo 1971","[Raúl Castro]"," marzo 2 de 1971","1971_marzo_primera_quincena_documento.pdf","application/pdf","objects/1971_marzo_primera_quincena_documento.jpg"
"1971_mayo_primera_quincena_","Revista Punto Final – Primera quincena de mayo 1971","[Jorge Yarur]","mayo 11 de 1971","1971_mayo_primera_quincena_.pdf","application/pdf","objects/1971_mayo_primera_quincena_.jpg"
"1971_mayo_segunda_quincena","Revista Punto Final – Segunda quincena de mayo 1971","[Jorge Yarur]","mayo 29 de 1971","1971_mayo_segunda_quincena.pdf","application/pdf","objects/1971_mayo_segunda_quincena.jpg"

